title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,post_date,price_category,mileage_category,post_day_of_week,vehicle_age
Honda City 1.3 i-VTEC Prosmatec 2018,3850000,Abbottabad,2018,72000,Petrol,Automatic,Islamabad,Modern Steel Metallic,Local,1300,2024-04-25,Medium,Medium,Thursday,6
Suzuki Mehran VXR 2003,670000,Mansehra,2003,150000,Petrol,Not Available,Islamabad,Maroon,Local,800,2024-04-25,Low,High,Thursday,21
Toyota Voxy X 2018,7800000,Peshawar,2018,98000,Hybrid,Automatic,Un-Registered,Black,Imported,1800,2024-04-25,High,Medium,Thursday,6
Changan Oshan X7 Comfort 2024,8000000,Multan,2020,27000,Petrol,Automatic,Punjab,Black,Local,1500,2024-04-25,High,Low,Thursday,4
Honda City Aspire 1.5 i-VTEC 2016,3400000,Peshawar,2016,72000,Petrol,Not Available,Islamabad,White,Local,1500,2024-04-25,Medium,Medium,Thursday,8
Suzuki Cultus Limited Edition 2016,1575000,Lahore,2016,90000,Petrol,Not Available,Lahore,Grey,Local,1000,2024-04-25,Low,Medium,Thursday,8
Honda CR-Z Sports Hybrid 2010,2750000,Karachi,2010,105000,Petrol,Automatic,Karachi,Grey,Imported,1500,2024-04-25,Medium,High,Thursday,14
Suzuki Khyber 1998,675000,Okara,1998,172500,Petrol,Not Available,Lahore,Grey,Local,1000,2024-04-25,Low,High,Thursday,26
Toyota Corolla XLi VVTi 2014,2350000,Lahore,2014,93000,Petrol,Not Available,Lahore,Black,Local,1300,2024-04-25,Medium,Medium,Thursday,10
Honda Civic EXi Prosmatec 2005,1450000,Lahore,2005,150000,Petrol,Automatic,Punjab,Blue,Local,1500,2024-04-25,Low,High,Thursday,19
Toyota Yaris Hatchback 2021,4295000,Karachi,2021,68000,Petrol,Automatic,Un-Registered,White,Imported,1000,2024-04-25,High,Medium,Thursday,3
Changan Karvaan 2021,2000000,Shorkot,2021,98000,Petrol,Not Available,Punjab,White,Local,1000,2024-04-25,Low,Medium,Thursday,3
Toyota Corolla 2000,2150000,Swabi,2000,250000,Petrol,Automatic,Islamabad,White,Imported,1500,2024-04-25,Low,High,Thursday,24
Mitsubishi Pajero Exceed 2.5D 1988,1300000,Kashmir,2007,9500,Diesel,Not Available,Karachi,White,Local,2500,2024-04-25,Low,Low,Thursday,17
Suzuki Mehran VX Euro II 2014,1030000,Lahore,2014,125000,Petrol,Not Available,Lahore,White,Local,800,2024-04-25,Low,High,Thursday,10
Honda City i-DSI 2005,2050000,Bahawalnagar,2005,255000,Petrol,Not Available,Lahore,Metallic Grey,Local,1300,2024-04-25,Low,High,Thursday,19
Daihatsu Charade 1986,645000,Rawalpindi,2009,999,Petrol,Automatic,Islamabad,Green,Imported,1000,2024-04-25,Low,Low,Thursday,15
Suzuki Alto S Package 2021,3650000,Peshawar,2021,7000,Petrol,Automatic,Un-Registered,White,Imported,660,2024-04-25,Medium,Low,Thursday,3
Haval H6 HEV 2023,11800000,Okara,2023,22000,Hybrid,Automatic,Un-Registered,Polar White,Imported,1500,2024-04-25,High,Low,Thursday,1
Honda Accord CL9 2004,3500000,Lahore,2004,139796,Petrol,Automatic,Lahore,Black,Imported,2400,2024-04-25,Medium,High,Thursday,20
Suzuki Every Wagon 2015,1870000,Shakargarh,2015,88000,Petrol,Automatic,Lahore,Black,Imported,660,2024-04-25,Low,Medium,Thursday,9
Toyota Corolla 2010,2410000,Wah cantt,2010,50000,Petrol,Not Available,Lahore,Shimring Green,Local,1500,2024-04-25,Medium,Low,Thursday,14
Toyota C-HR S 2019,7800000,Peshawar,2019,136000,Hybrid,Automatic,Un-Registered,White,Imported,1800,2024-04-25,High,High,Thursday,5
Toyota Corolla 1974,850000,Lahore,2024,1,Petrol,Not Available,Karachi,Silver,Imported,1200,2024-04-25,Low,Low,Thursday,0
Suzuki Cultus VXLi 2008,1300000,Rawalpindi,2008,130000,Petrol,Not Available,Lahore,Silver,Local,1000,2024-04-25,Low,High,Thursday,16
Daihatsu Move Custom RS SA 2016,1985000,Karachi,2016,121000,Petrol,Automatic,Karachi,Grey,Local,660,2024-04-25,Low,High,Thursday,8
Honda Civic Oriel 1.8 i-VTEC CVT 2017,5300000,Rawalpindi,2017,69500,Petrol,Automatic,Islamabad,White,Local,1800,2024-04-25,High,Medium,Thursday,7
Suzuki Mehran VXR 2003,580000,Rawalpindi,2003,56000,Petrol,Not Available,Lahore,White,Local,800,2024-04-25,Low,Medium,Thursday,21
Toyota Prius S LED Edition 1.8 2012,4350000,Rawalpindi,2012,185000,Hybrid,Automatic,Lahore,Silver Metallic,Imported,1800,2024-04-25,High,High,Thursday,12
Daihatsu Mira X Memorial Edition 2015,1950000,Karachi,2015,100000,Petrol,Automatic,Karachi,Pearl White,Imported,660,2024-04-25,Low,Medium,Thursday,9
Honda City Aspire 1.3 i-VTEC 2017,3025000,Lahore,2017,99000,Petrol,Not Available,Lahore,Black,Local,1300,2024-04-25,Medium,Medium,Thursday,7
Suzuki Alto VXR 2012,1085000,Karachi,2012,95000,Petrol,Not Available,Karachi,Blue,Local,1000,2024-04-25,Low,Medium,Thursday,12
Honda Civic VTi Oriel Prosmatec 1.6 2004,1700000,Peshawar,2004,100000,Petrol,Automatic,Sindh,Black,Imported,1600,2024-04-25,Low,Medium,Thursday,20
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,6280000,Bahawalpur,2021,79000,Petrol,Automatic,Islamabad,Super white,Local,1800,2024-04-25,High,Medium,Thursday,3
Honda Civic 1999,1195000,Lahore,1999,160,Petrol,Automatic,Punjab,Blue,Imported,1300,2024-04-25,Low,Low,Thursday,25
Mercedes Benz C Class C180 2003,2600000,Islamabad,2003,125000,Petrol,Automatic,Lahore,Diamond Black,Local,1800,2024-04-25,Medium,High,Thursday,21
Suzuki Alto 2008,1770000,Rawalpindi,2008,127000,Petrol,Automatic,Islamabad,Silver,Imported,660,2024-04-25,Low,High,Thursday,16
Mitsubishi Pajero 1992,2500000,Sialkot,1992,93000,Petrol,Automatic,Islamabad,On Top Of Piccs,Imported,3000,2024-04-25,Medium,Medium,Thursday,32
Honda City Aspire Prosmatec 1.3 i-VTEC 2015,3500000,Gujranwala,2015,139000,Petrol,Automatic,Lahore,White,Local,1300,2024-04-25,Medium,High,Thursday,9
Daihatsu Move Custom X 2013,2495000,Sheikhupura,2013,168000,Petrol,Automatic,Lahore,Grey,Imported,660,2024-04-25,Medium,High,Thursday,11
Suzuki Mehran VXR Euro II 2018,1500000,Islamabad,2018,43,Petrol,Not Available,Islamabad,White,Local,800,2024-04-25,Low,Low,Thursday,6
Toyota Passo X 2006,2100000,Peshawar,2006,200,Petrol,Automatic,Islamabad,White,Imported,1000,2024-04-25,Low,Low,Thursday,18
Suzuki Cultus EURO II 2015,1720000,Mian channu,2015,44000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,2024-04-25,Low,Low,Thursday,9
Toyota Corolla Altis Grande CVT-i 1.8 2018,5400000,Rawalpindi,2018,118000,Petrol,Automatic,Islamabad,Super white,Local,1800,2024-04-25,High,High,Thursday,6
Suzuki Swift DLX 1.3 Navigation  2019,2750000,Rawalpindi,2019,70000,Petrol,Not Available,Islamabad,Solid White,Local,1300,2024-04-25,Medium,Medium,Thursday,5
Honda Vezel 2014,4700000,Rawalpindi,2014,141000,Petrol,Automatic,Islamabad,Grey,Imported,1500,2024-04-25,High,High,Thursday,10
Toyota Corolla Altis 1.6 X CVT-i 2023,6350000,Gujrat,2023,15000,Petrol,Automatic,Islamabad,Super White,Local,1600,2024-04-25,High,Low,Thursday,1
Daihatsu Mira X 2014,2365000,Karachi,2014,72000,Petrol,Automatic,Sindh,Silver,Imported,660,2024-04-25,Medium,Medium,Thursday,10
Honda N One 2021,3650000,Gujranwala,2021,50000,Petrol,Automatic,Un-Registered,Red,Imported,660,2024-04-25,Medium,Low,Thursday,3
Suzuki Swift GL CVT 2022,4250000,Shuja abad,2022,11542,Petrol,Automatic,Punjab,Silver,Local,1200,2024-04-25,High,Low,Thursday,2
Prince K07 S 2020,1700000,Faisalabad,2020,78000,Petrol,Not Available,Lahore,Silver,Local,997,2024-04-25,Low,Medium,Thursday,4
Suzuki Cultus EURO II 2013,1470000,Vehari,2013,200000,Petrol,Not Available,Punjab,Green,Imported,1000,2024-04-25,Low,High,Thursday,11
Suzuki Mehran 2013,1090000,Islamabad,2013,15000,Petrol,Not Available,Islamabad,Grey,Local,1000,2024-04-25,Low,Low,Thursday,11
MG HS Essence 2023,7600000,Faisalabad,2023,4600,Petrol,Automatic,Islamabad,Black,Local,1500,2024-04-25,High,Low,Thursday,1
Suzuki FX GA 1987,320000,Islamabad,2008,20000,Petrol,Not Available,Islamabad,Beige,Imported,800,2024-04-25,Low,Low,Thursday,16
Suzuki Alto VXL AGS 2022,2850000,Sheikhupura,2022,16000,Petrol,Automatic,Un-Registered,Solid White,Local,660,2024-04-25,Medium,Low,Thursday,2
Toyota Yaris ATIV X CVT 1.5 2022,4850000,Gujranwala,2022,21500,Petrol,Automatic,Punjab,White,Local,1500,2024-04-25,High,Low,Thursday,2
Honda City EXi 2001,1100000,Gujranwala,2001,100000,Petrol,Not Available,Punjab,Black,Local,1300,2024-04-25,Low,Medium,Thursday,23
Suzuki Vitara 2004,3000000,Islamabad,2004,88000,Petrol,Not Available,Sindh,Silver,Imported,2000,2024-04-25,Medium,Medium,Thursday,20
Toyota Corolla Altis Grande CVT-i 1.8 2020,6050000,Mian wali,2020,64500,Petrol,Automatic,Punjab,Super white,Local,1800,2024-04-25,High,Medium,Thursday,4
Toyota Corolla XLi 2004,1398000,Karachi,2004,40000,Petrol,Not Available,Sindh,Super White,Local,1300,2024-04-24,Low,Low,Wednesday,20
Toyota Passo G 1.0 2007,2200000,Faisalabad,2007,55000,Petrol,Automatic,Sindh,White,Imported,1000,2024-04-24,Low,Medium,Wednesday,17
Suzuki Khyber GA 1995,265000,Karachi,1995,99000,Petrol,Not Available,Sindh,Green,Local,1000,2024-04-24,Low,Medium,Wednesday,29
Suzuki Every 2003,1150000,Karachi,2003,100000,Petrol,Automatic,Karachi,White,Imported,660,2024-04-24,Low,Medium,Wednesday,21
Toyota Passo G 1.3 2007,2050000,Karachi,2007,126457,Petrol,Automatic,Karachi,Green,Imported,1300,2024-04-24,Low,High,Wednesday,17
Suzuki Bolan VX 2007,725000,Bahawalpur,2007,121000,Petrol,Not Available,Lahore,White,Local,800,2024-04-24,Low,High,Wednesday,17
Toyota Corolla SE 1980,640000,Rawalpindi,2007,200000,Petrol,Not Available,Islamabad,White,Local,1300,2024-04-24,Low,High,Wednesday,17
Suzuki Wagon R 2021,3400000,Peshawar,2021,11966,Petrol,Automatic,Un-Registered,Black,Imported,660,2024-04-24,Medium,Low,Wednesday,3
Hyundai Excel Basegrade 1993,280000,Taxila,1993,250000,Petrol,Not Available,Karachi,Red,Local,1500,2024-04-24,Low,High,Wednesday,31
Toyota Corolla GLi 1.3 VVTi 2013,2575000,Darya khan,2013,95000,Petrol,Not Available,Sindh,Black,Imported,1300,2024-04-24,Medium,Medium,Wednesday,11
Toyota Corolla 2010,2430000,Taxila,2010,140000,Petrol,Not Available,Lahore,Green,Local,1500,2024-04-24,Medium,High,Wednesday,14
Honda Civic 2003,1600000,Sara e alamgir,2003,205000,Petrol,Not Available,Islamabad,Salimar Rose,Local,1600,2024-04-24,Low,High,Wednesday,21
Toyota Corolla Altis Grande CVT-i 1.8 2019,5700000,Faisalabad,2019,100000,Petrol,Automatic,Lahore,White,Local,1800,2024-04-24,High,Medium,Wednesday,5
Toyota Aqua S 2019,6800000,Peshawar,2019,124000,Hybrid,Automatic,Un-Registered,White,Imported,1500,2024-04-24,High,High,Wednesday,5
Suzuki Swift GLX CVT 2022,4600000,Karachi,2022,24000,Petrol,Automatic,Sindh,Solid White,Local,1242,2024-04-24,High,Low,Wednesday,2
Toyota Land Cruiser Cygnus 2002,11000000,Islamabad,2002,105000,Petrol,Automatic,Islamabad,Bronze,Imported,4700,2024-04-24,High,High,Wednesday,22
Daehan Shehzore 2006,1950000,Lahore,2006,150000,Diesel,Not Available,Lahore,White,Local,2600,2024-04-24,Low,High,Wednesday,18
Honda Civic VTi 1.8 i-VTEC 2014,3750000,Lahore,2014,156000,Petrol,Automatic,Lahore,Alabaster Silver,Local,1800,2024-04-24,Medium,High,Wednesday,10
Suzuki Alto 2008,830000,Jampur,2008,14590,Petrol,Not Available,Sindh,Silver,Local,1000,2024-04-24,Low,Low,Wednesday,16
Suzuki Cultus VXR 2000,610000,Karachi,2000,45000,Petrol,Not Available,Karachi,White,Local,1000,2024-04-24,Low,Low,Wednesday,24
Nissan Otti 2007,1495000,Karachi,2007,120000,Petrol,Automatic,Sindh,Silver,Imported,660,2024-04-24,Low,High,Wednesday,17
Suzuki Baleno JXR 2005,1485000,Lahore,2005,150000,Petrol,Not Available,Islamabad,White,Local,1300,2024-04-24,Low,High,Wednesday,19
Suzuki Swift DLX 1.3 2016,2250000,Quetta,2016,75000,Petrol,Not Available,Sindh,White,Local,1300,2024-04-24,Medium,Medium,Wednesday,8
Honda Civic EXi 2005,1400000,Lahore,2005,272000,Petrol,Not Available,Lahore,Crystal Black,Local,1500,2024-04-24,Low,High,Wednesday,19
Toyota Corolla Altis X Automatic 1.6 2021,5600000,Peshawar,2021,37000,Petrol,Automatic,Islamabad,Super White,Local,1598,2024-04-24,High,Low,Wednesday,3
Toyota Crown Royal Saloon G 2004,5800000,Islamabad,2004,180000,Petrol,Automatic,Islamabad,Silver,Imported,3000,2024-04-24,High,High,Wednesday,20
Honda Civic VTi Prosmatec 1.8 i-VTEC 2015,4075000,Islamabad,2015,147000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-04-24,High,High,Wednesday,9
Nissan Dayz X 2013,2190000,Rawalpindi,2013,157000,Petrol,Automatic,Punjab,Blue Metallic,Imported,660,2024-04-24,Low,High,Wednesday,11
Toyota Corolla XE Limited 1999,1600000,Mardan,1999,197586,Petrol,Automatic,Mardan,White,Imported,1500,2024-04-24,Low,High,Wednesday,25
Toyota Hilux Revo V Automatic 2.8 2018,9850000,Islamabad,2018,102000,Diesel,Automatic,Sindh,Super White,Local,2800,2024-04-24,High,High,Wednesday,6
Toyota Corolla GLi 1.3 VVTi 2014,3350000,Quetta,2014,64000,Petrol,Not Available,Karachi,White,Local,1300,2024-04-24,Medium,Medium,Wednesday,10
Toyota Prado 2016,21000000,Sukkur,2016,34000,Petrol,Automatic,Un-Registered,Black,Imported,2700,2024-04-24,High,Low,Wednesday,8
Suzuki Wagon R VXL 2020,2650000,Sialkot,2020,50300,Petrol,Not Available,Islamabad,Silky Silver,Local,1000,2024-04-24,Medium,Medium,Wednesday,4
Toyota Yaris ATIV X CVT 1.5 2020,4350000,Lahore,2020,59000,Petrol,Automatic,Punjab,Grey Graphite,Local,1500,2024-04-24,High,Medium,Wednesday,4
Honda Civic VTi Prosmatec 1.6 2004,1425000,Karachi,2004,165000,Petrol,Automatic,Karachi,Grey,Local,1600,2024-04-24,Low,High,Wednesday,20
Daihatsu Cuore CL Eco 2007,969999,Mirpur khas,2007,83000,Petrol,Not Available,Sindh,Blue,Local,800,2024-04-24,Low,Medium,Wednesday,17
Changan Alsvin 1.3L MT Comfort 2021,2850000,Karachi,2021,82500,Petrol,Not Available,Karachi,Steller White,Local,1300,2024-04-24,Medium,Medium,Wednesday,3
Suzuki Cultus VXR (CNG) 2004,950000,Abbottabad,2004,165000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,2024-04-24,Low,High,Wednesday,20
Honda Accord 24TL Sports Style 2008,4075000,Mardan,2008,163000,Petrol,Automatic,Karachi,Silver,Imported,2400,2024-04-24,High,High,Wednesday,16
Toyota Corolla Altis Automatic 1.6 2017,4290000,Lahore,2017,121000,Petrol,Automatic,Punjab,White,Local,1600,2024-04-24,High,High,Wednesday,7
Suzuki Khyber GA 1996,350000,Lahore,1996,150000,Petrol,Not Available,Lahore,Red,Local,1000,2024-04-24,Low,High,Wednesday,28
Nissan Clipper DX 2011,1290000,Karachi,2011,216000,Petrol,Automatic,Karachi,Silver,Imported,660,2024-04-24,Low,High,Wednesday,13
KIA Sportage 1996,1500000,Mansehra,1996,209556,Petrol,Not Available,Sindh,Maroon,Imported,1800,2024-04-24,Low,High,Wednesday,28
Toyota Land Cruiser 1995,3100000,Islamabad,1995,100000,Diesel,Not Available,Islamabad,Navy,Imported,2700,2024-04-24,Medium,Medium,Wednesday,29
Toyota Corolla 1996,1100000,Lahore,1996,400000,Petrol,Not Available,Karachi,White,Imported,1800,2024-04-24,Low,High,Wednesday,28
Toyota C-HR G-LED 2017,8100000,Faisalabad,2017,52000,Hybrid,Automatic,Punjab,White Pearl,Imported,1800,2024-04-24,High,Medium,Wednesday,7
Honda Civic Oriel 1.8 i-VTEC CVT 2018,5600000,Faisalabad,2018,60000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,2024-04-24,High,Medium,Wednesday,6
Honda Civic EXi Prosmatec 2002,1370000,Karachi,2002,195000,Petrol,Automatic,Karachi,Unlisted,Local,1500,2024-04-24,Low,High,Wednesday,22
Suzuki Cultus EURO II 2015,1580000,Gadoon amazai,2015,60000,Petrol,Not Available,Lahore,Graphite Grey,Local,1000,2024-04-24,Low,Medium,Wednesday,9
Daihatsu Charade CX 1984,310000,Karachi,2006,250000,Petrol,Not Available,Sindh,Green,Imported,1000,2024-04-24,Low,High,Wednesday,18
Suzuki Ciaz Automatic 2018,3300000,Vehari,2018,72000,Petrol,Automatic,Islamabad,Snow White Pearl,Local,1400,2024-04-24,Medium,Medium,Wednesday,6
Suzuki Swift DLX 1.3 2012,1800000,Lahore,2012,180000,Petrol,Not Available,Punjab,Solid White,Local,1300,2024-04-24,Low,High,Wednesday,12
Suzuki Alto X 2015,2285000,Karachi,2015,49000,Petrol,Automatic,Karachi,Blue,Imported,660,2024-04-24,Medium,Low,Wednesday,9
Suzuki Cultus VXL 2022,3775000,Karachi,2022,16680,Petrol,Not Available,Karachi,White,Local,1000,2024-04-24,Medium,Low,Wednesday,2
Mitsubishi Ek Wagon E 2014,1989999,Karachi,2014,76000,Petrol,Automatic,Sindh,Silver,Imported,660,2024-04-24,Low,Medium,Wednesday,10
Suzuki Every Join 2018,2385000,Sialkot,2018,77400,Petrol,Automatic,Punjab,Bluish Black Pearl,Imported,660,2024-04-24,Medium,Medium,Wednesday,6
Toyota Prius S 1.8 2010,3800000,Karachi,2010,115000,Hybrid,Automatic,Karachi,Unlisted,Imported,1800,2024-04-24,Medium,High,Wednesday,14
Toyota Vitz B Intelligent Package 1.0 2007,1600000,Rawalpindi,2007,160000,Petrol,Automatic,Islamabad,Gold,Imported,1000,2024-04-24,Low,High,Wednesday,17
Toyota Corolla XLi VVTi 2010,2650000,Peshawar,2010,220000,Petrol,Not Available,Islamabad,Attitude Black,Local,1300,2024-04-24,Medium,High,Wednesday,14
Toyota Yaris Hatchback G 1.0 2021,4650000,Karachi,2021,89000,Petrol,Automatic,Un-Registered,Black,Local,996,2024-04-24,High,Medium,Wednesday,3
Toyota Passo 2014,2950000,Islamabad,2014,120000,Petrol,Automatic,Islamabad,Silver,Imported,1000,2024-04-24,Medium,High,Wednesday,10
Toyota Premio 2002,2750000,Islamabad,2002,188000,Petrol,Automatic,Karachi,Silver,Imported,1500,2024-04-24,Medium,High,Wednesday,22
Suzuki Jimny 2018,4550000,Karachi,2018,46000,Petrol,Automatic,Karachi,Green,Imported,660,2024-04-24,High,Low,Wednesday,6
Toyota Vitz FL 1.0 2003,1780000,Lahore,2003,195000,Petrol,Automatic,Sindh,Black,Imported,1000,2024-04-24,Low,High,Wednesday,21
Toyota Corolla XLi VVTi 2013,2690000,Islamabad,2013,195000,Petrol,Not Available,Islamabad,Burgundy,Local,1300,2024-04-24,Medium,High,Wednesday,11
Suzuki Mehran VX Euro II Limited Edition 2016,1260000,Akora khattak,2016,86000,Petrol,Not Available,Islamabad,Solid White,Local,796,2024-04-24,Low,Medium,Wednesday,8
Toyota Vitz F 1.0 2014,3250000,Lahore,2014,77000,Petrol,Automatic,Lahore,Silver,Imported,1000,2024-04-24,Medium,Medium,Wednesday,10
Toyota Aygo 2014,2700000,Kohat,2014,55000,Petrol,Not Available,Islamabad,Red,Imported,1000,2024-04-24,Medium,Medium,Wednesday,10
Nissan Juke 15RX Premium Personalize Package 2010,3375000,Lahore,2010,169000,Petrol,Automatic,Lahore,Black,Imported,1500,2024-04-24,Medium,High,Wednesday,14
Honda Civic VTi 1.8 i-VTEC 2007,2150000,Kohat,2007,200000,Petrol,Not Available,Lahore,Grey,Local,1800,2024-04-24,Low,High,Wednesday,17
Suzuki Potohar 2005,1200000,Peshawar,2005,235000,Petrol,Not Available,Sindh,White,Imported,1000,2024-04-24,Low,High,Wednesday,19
Daihatsu Charade CX 1988,275000,Sargodha,2014,82000,Petrol,Not Available,Lahore,Silver,Imported,1000,2024-04-24,Low,Medium,Wednesday,10
MG HS 1.5 Turbo 2021,7450000,Gujranwala,2021,19540,Petrol,Automatic,Punjab,White,Imported,1500,2024-04-24,High,Low,Wednesday,3
Honda Civic VTi Prosmatec 1.6 2002,1470000,Islamabad,2002,145678,Petrol,Automatic,Sindh,White,Local,1600,2024-04-24,Low,High,Wednesday,22
Proton X70 Premium FWD 2022,7050000,Islamabad,2022,34000,Petrol,Automatic,Punjab,Snow White,Local,1500,2024-04-24,High,Low,Wednesday,2
Honda Civic EXi 1990,650000,Rahim yar khan,1990,140000,Petrol,Not Available,Lahore,Grey,Local,1600,2024-04-24,Low,High,Wednesday,34
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2010,2550000,Sahiwal,2010,190000,Petrol,Automatic,Lahore,Black,Local,1800,2024-04-24,Medium,High,Wednesday,14
Honda Civic VTi Prosmatec 1.8 i-VTEC 2014,3350000,Karachi,2014,70000,Petrol,Automatic,Sindh,White,Local,1800,2024-04-24,Medium,Medium,Wednesday,10
Honda Accord CL9 2002,2700000,Lahore,2002,120000,Petrol,Automatic,Gujranwala,Black,Imported,2400,2024-04-24,Medium,High,Wednesday,22
Subaru Pleo 2015,2650000,Islamabad,2015,300000,Petrol,Automatic,Islamabad,Silver,Imported,660,2024-04-24,Medium,High,Wednesday,9
Suzuki Ravi Euro II 2018,1450000,Rawalpindi,2018,37950,Petrol,Not Available,Punjab,Solid White,Local,800,2024-04-24,Low,Low,Wednesday,6
Suzuki Swift DLX 1.3 2011,1650000,Malakwal,2011,250000,Petrol,Not Available,Faisalabad,White,Local,1300,2024-04-24,Low,High,Wednesday,13
Hyundai Sonata 2.5 2022,10200000,Rawalpindi,2022,14000,Petrol,Automatic,Islamabad,Black,Local,2500,2024-04-24,High,Low,Wednesday,2
Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,3650000,Karachi,2013,92000,Petrol,Automatic,Sindh,Bronze,Imported,1800,2024-04-24,Medium,Medium,Wednesday,11
Mitsubishi Pajero Exceed Automatic 2.8D 1994,2350000,Islamabad,1994,138000,Diesel,Automatic,Faisalabad,Silver,Imported,2800,2024-04-24,Medium,High,Wednesday,30
Suzuki Mehran VX 2005,650000,Islamabad,2005,100000,Petrol,Not Available,Islamabad,Snow White Pearl,Local,800,2024-04-24,Low,Medium,Wednesday,19
Hyundai Elantra GLS 2021,6000000,Lahore,2021,135000,Petrol,Automatic,Islamabad,White,Local,2000,2024-04-24,High,High,Wednesday,3
Honda City 1.2L M/T 2022,4350000,Jhang,2022,13000,Petrol,Not Available,Un-Registered,Taffeta White,Local,1200,2024-04-24,High,Low,Wednesday,2
Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2600000,Lahore,2012,203000,Petrol,Automatic,Lahore,White,Local,1800,2024-04-24,Medium,High,Wednesday,12
Suzuki Cultus VXL (CNG) 2007,800000,Chenab nagar,2007,200000,Petrol,Not Available,Multan,Grey,Local,1000,2024-04-24,Low,High,Wednesday,17
Peugeot 2008 Active 2022,6450000,Rawalpindi,2022,8000,Petrol,Automatic,Islamabad,Black,Imported,1200,2024-04-24,High,Low,Wednesday,2
Daihatsu Mira X SA lll 2020,3500000,Sukkur,2020,40000,Petrol,Automatic,Karachi,Silver,Imported,660,2024-04-24,Medium,Low,Wednesday,4
Suzuki Baleno GL 2000,800000,Peshawar,2000,170000,Petrol,Not Available,Rahim Yar Khan,White,Local,1300,2024-04-24,Low,High,Wednesday,24
Honda Civic EXi Prosmatec 2004,1750000,Quetta,2004,160000,Petrol,Automatic,Karachi,Silver,Local,1500,2024-04-24,Low,High,Wednesday,20
Daihatsu Taft 2022,4200000,Peshawar,2022,21000,Petrol,Automatic,Un-Registered,Beige,Imported,660,2024-04-24,High,Low,Wednesday,2
Suzuki Mehran VX Euro II 2014,860000,Rawalpindi,2014,96000,Petrol,Not Available,Punjab,Solid White,Local,796,2024-04-24,Low,Medium,Wednesday,10
Toyota Aqua S 2013,3650000,Rawalpindi,2013,138000,Hybrid,Automatic,Islamabad,Cherry Pearl Crystal,Imported,1500,2024-04-24,Medium,High,Wednesday,11
Toyota Prius 2014,5700000,Karachi,2014,87000,Hybrid,Automatic,Karachi,Black,Imported,1800,2024-04-24,High,Medium,Wednesday,10
Honda City 2000,1300000,Attock,2000,280575,Petrol,Automatic,Punjab,White,Imported,1300,2024-04-24,Low,High,Wednesday,24
Toyota Corolla Altis Automatic 1.6 2018,4600000,Sialkot,2018,92000,Petrol,Automatic,Punjab,Unlisted,Local,1600,2024-04-24,High,Medium,Wednesday,6
Toyota Corolla Altis Automatic 1.6 2022,6100000,Karachi,2022,78,Petrol,Automatic,Karachi,Silver,Local,1600,2024-04-24,High,Low,Wednesday,2
Suzuki Alto 2006,800000,Okara,2006,20000,Petrol,Not Available,Rawalpindi,White,Local,1000,2024-04-24,Low,Low,Wednesday,18
Toyota Premio F 1.5 2004,2950000,Lahore,2004,165000,Petrol,Automatic,Punjab,Super White,Imported,1500,2024-04-24,Medium,High,Wednesday,20
Toyota Corolla XE 1998,1750000,Abbottabad,1998,98000,Petrol,Not Available,Lahore,White,Local,1300,2024-04-24,Low,Medium,Wednesday,26
Hyundai Santro Club 2014,1350000,Jhang,2014,120000,Petrol,Not Available,Sargodha,Silver,Local,1000,2024-04-24,Low,High,Wednesday,10
Honda City 1.3 i-VTEC 2017,2900000,Karachi,2017,90000,Petrol,Not Available,Karachi,Silver,Local,1300,2024-04-24,Medium,Medium,Wednesday,7
Honda N Wgn G 2014,2435000,Lahore,2014,93468,Petrol,Automatic,Punjab,Black,Imported,660,2024-04-24,Medium,Medium,Wednesday,10
Honda Accord CL9 2004,2800000,Multan,2004,200000,Petrol,Automatic,Sindh,Navy,Imported,2400,2024-04-24,Medium,High,Wednesday,20
Suzuki Ravi 2009,780000,Karachi,2009,70000,Petrol,Not Available,Karachi,White,Local,800,2024-04-24,Low,Medium,Wednesday,15
Toyota Prius S 1.5 2007,2750000,Lahore,2007,170000,Hybrid,Automatic,Punjab,Blue,Imported,1500,2024-04-24,Medium,High,Wednesday,17
Toyota Corolla Altis X Automatic 1.6 2021,5800000,Islamabad,2021,32000,Petrol,Automatic,Islamabad,Super White,Local,1598,2024-04-24,High,Low,Wednesday,3
Toyota Corolla Altis Automatic 1.6 2016,4250000,Multan,2016,115000,Petrol,Automatic,Lahore,Super White,Local,1600,2024-04-24,High,High,Wednesday,8
Suzuki Mehran VXR Euro II 2017,1370000,Islamabad,2017,80,Petrol,Not Available,Punjab,Solid White,Local,796,2024-04-24,Low,Low,Wednesday,7
Changan Alsvin 1.5L DCT Lumiere 2023,3890000,Okara,2023,55000,Petrol,Automatic,Punjab,Grey,Local,1500,2024-04-24,Medium,Medium,Wednesday,1
